89Z:acc 0.9482, nmi 0.8947, ari 0.8910, f1 0.9485
89Z2:acc 0.9477, nmi 0.8946, ari 0.8900, f1 0.9482
89P:acc 0.9470, nmi 0.8918, ari 0.8884, f1 0.9473
90Q:acc 0.9468, nmi 0.8918, ari 0.8879, f1 0.9471
90Z:acc 0.9482, nmi 0.8948, ari 0.8912, f1 0.9486
90Z2:acc 0.9478, nmi 0.8948, ari 0.8903, f1 0.9484
90P:acc 0.9471, nmi 0.8919, ari 0.8886, f1 0.9474
91Q:acc 0.9468, nmi 0.8918, ari 0.8879, f1 0.9471
91Z:acc 0.9483, nmi 0.8950, ari 0.8914, f1 0.9487
91Z2:acc 0.9478, nmi 0.8948, ari 0.8903, f1 0.9484
91P:acc 0.9471, nmi 0.8919, ari 0.8886, f1 0.9474
92Q:acc 0.9468, nmi 0.8918, ari 0.8879, f1 0.9471
92Z:acc 0.9483, nmi 0.8950, ari 0.8914, f1 0.9487
92Z2:acc 0.9479, nmi 0.8949, ari 0.8905, f1 0.9484
92P:acc 0.9471, nmi 0.8919, ari 0.8886, f1 0.9474
93Q:acc 0.9468, nmi 0.8919, ari 0.8880, f1 0.9472
93Z:acc 0.9484, nmi 0.8951, ari 0.8915, f1 0.9488
93Z2:acc 0.9479, nmi 0.8950, ari 0.8905, f1 0.9484
93P:acc 0.9472, nmi 0.8923, ari 0.8888, f1 0.9476
94Q:acc 0.9469, nmi 0.8920, ari 0.8882, f1 0.9473
94Z:acc 0.9485, nmi 0.8952, ari 0.8917, f1 0.9488
